,fiyat
2021-06-30,27.28
2021-07-01,27.28
2021-07-02,26.73
2021-07-03,26.73
2021-07-04,26.73
2021-07-05,26.73
2021-07-06,26.73
2021-07-07,26.73
2021-07-08,26.73
2021-07-09,26.488
2021-07-10,26.488
2021-07-11,26.488
2021-07-12,26.488
2021-07-13,26.488
2021-07-14,26.488
2021-07-15,26.488
2021-07-16,26.36
2021-07-17,26.36
2021-07-18,26.36
2021-07-19,26.36
2021-07-20,26.36
2021-07-21,26.36
2021-07-22,26.36
2021-07-23,27.75
2021-07-24,27.75
2021-07-25,27.75
2021-07-26,27.75
2021-07-27,27.75
2021-07-28,27.75
2021-07-29,27.75
2021-07-30,27.76
2021-07-31,27.76
2021-08-01,27.76
2021-08-02,27.76
2021-08-03,27.76
2021-08-04,27.76
2021-08-05,27.76
2021-08-06,27.68
2021-08-07,27.68
2021-08-08,27.68
2021-08-09,27.68
2021-08-10,27.68
2021-08-11,27.68
2021-08-12,27.68
2021-08-13,27.85
2021-08-14,27.85
2021-08-15,27.85
2021-08-16,27.85
2021-08-17,27.85
2021-08-18,27.85
2021-08-19,27.85
2021-08-20,27.87
2021-08-21,27.87
2021-08-22,27.87
2021-08-23,27.87
2021-08-24,27.87
2021-08-25,27.87
2021-08-26,27.87
2021-08-27,28.32
2021-08-28,28.32
2021-08-29,28.32
2021-08-30,28.32
2021-08-31,28.32
2021-09-01,28.32
2021-09-02,28.32
2021-09-03,28.52
2021-09-04,28.52
2021-09-05,28.52
2021-09-06,28.52
2021-09-07,28.52
2021-09-08,28.52
2021-09-09,28.52
2021-09-10,28.54
2021-09-11,28.54
2021-09-12,28.54
2021-09-13,28.54
2021-09-14,28.54
2021-09-15,28.54
2021-09-16,28.54
2021-09-17,28.13
2021-09-18,28.13
2021-09-19,28.13
2021-09-20,28.13
2021-09-21,28.13
2021-09-22,28.13
2021-09-23,28.13
2021-09-24,27.625
2021-09-25,27.625
2021-09-26,27.625
2021-09-27,27.625
2021-09-28,27.625
2021-09-29,27.625
2021-09-30,27.158
2021-10-01,27.158
2021-10-02,27.158
2021-10-03,27.158
2021-10-04,27.158
2021-10-05,27.158
2021-10-06,27.158
2021-10-07,27.158
2021-10-08,27.525
2021-10-09,27.525
2021-10-10,27.525
2021-10-11,27.525
2021-10-12,27.525
2021-10-13,27.525
2021-10-14,27.525
2021-10-15,27.7
2021-10-16,27.7
2021-10-17,27.7
2021-10-18,27.7
2021-10-19,27.7
2021-10-20,27.7
2021-10-21,27.7
2021-10-22,27.28
2021-10-23,27.28
2021-10-24,27.28
2021-10-25,27.28
2021-10-26,27.28
2021-10-27,27.28
2021-10-28,27.28
2021-10-29,27.1
2021-10-30,27.1
2021-10-31,27.1
2021-11-01,27.1
2021-11-02,27.1
2021-11-03,27.1
2021-11-04,27.1
2021-11-05,26.76
2021-11-06,26.76
2021-11-07,26.76
2021-11-08,26.76
2021-11-09,26.76
2021-11-10,26.76
2021-11-11,26.76
2021-11-12,25.99
2021-11-13,25.99
2021-11-14,25.99
2021-11-15,25.99
2021-11-16,25.99
2021-11-17,25.99
2021-11-18,25.99
2021-11-19,25.45
2021-11-20,25.45
2021-11-21,25.45
2021-11-22,25.45
2021-11-23,25.45
2021-11-24,25.45
2021-11-25,25.45
2021-11-26,24.74
2021-11-27,24.74
2021-11-28,24.74
2021-11-29,24.74
2021-11-30,24.74
2021-12-01,24.74
2021-12-02,24.74
2021-12-03,24.24
2021-12-04,24.24
2021-12-05,24.24
2021-12-06,24.24
2021-12-07,24.24
2021-12-08,24.24
2021-12-09,24.24
2021-12-10,24.0
2021-12-11,24.0
2021-12-12,24.0
2021-12-13,24.0
2021-12-14,24.0
2021-12-15,24.0
2021-12-16,24.0
2021-12-17,23.8
2021-12-18,23.8
2021-12-19,23.8
2021-12-20,23.8
2021-12-21,23.8
2021-12-22,23.8
2021-12-23,23.8
2021-12-24,23.56
2021-12-25,23.56
2021-12-26,23.56
2021-12-27,23.56
2021-12-28,23.56
2021-12-29,23.56
2021-12-30,23.56
2021-12-31,23.28
2022-01-01,23.28
2022-01-02,23.28
2022-01-03,23.28
2022-01-04,23.28
2022-01-05,23.28
2022-01-06,23.28
2022-01-07,23.2
2022-01-08,23.2
2022-01-09,23.2
2022-01-10,23.2
2022-01-11,23.2
2022-01-12,23.2
2022-01-13,23.2
2022-01-14,23.2
2022-01-15,23.2
2022-01-16,23.2
2022-01-17,23.2
2022-01-18,23.2
2022-01-19,23.2
2022-01-20,23.2
2022-01-21,23.2
2022-01-22,23.2
2022-01-23,23.2
2022-01-24,23.2
2022-01-25,23.2
2022-01-26,23.2
2022-01-27,23.2
2022-01-28,23.2
2022-01-29,23.2
2022-01-30,23.2
2022-01-31,23.2
2022-02-01,23.2
2022-02-02,23.2
2022-02-03,23.2
2022-02-04,23.2
2022-02-05,23.2
2022-02-06,23.2
2022-02-07,23.2
2022-02-08,23.2
2022-02-09,23.2
2022-02-10,23.2
2022-02-11,23.26
2022-02-12,23.26
2022-02-13,23.26
2022-02-14,23.26
2022-02-15,23.26
2022-02-16,23.26
2022-02-17,23.26
2022-02-18,23.25
2022-02-19,23.25
2022-02-20,23.25
2022-02-21,23.25
2022-02-22,23.25
2022-02-23,23.25
2022-02-24,23.25
2022-02-25,23.05
2022-02-26,23.05
2022-02-27,23.05
2022-02-28,23.05
2022-03-01,23.05
2022-03-02,23.05
2022-03-03,23.05
2022-03-04,23.13
2022-03-05,23.13
2022-03-06,23.13
2022-03-07,23.13
2022-03-08,23.13
2022-03-09,23.13
2022-03-10,23.13
2022-03-11,23.8
2022-03-12,23.8
2022-03-13,23.8
2022-03-14,23.8
2022-03-15,23.8
2022-03-16,23.8
2022-03-17,23.8
2022-03-18,23.61
2022-03-19,23.61
2022-03-20,23.61
2022-03-21,23.61
2022-03-22,23.61
2022-03-23,23.61
2022-03-24,23.61
2022-03-25,23.47
2022-03-26,23.47
2022-03-27,23.47
2022-03-28,23.47
2022-03-29,23.47
2022-03-30,23.47
2022-03-31,23.47
2022-04-01,23.29
2022-04-02,23.29
2022-04-03,23.29
2022-04-04,23.29
2022-04-05,23.29
2022-04-06,23.29
2022-04-07,23.29
2022-04-08,23.213
2022-04-09,23.213
2022-04-10,23.213
2022-04-11,23.213
2022-04-12,23.213
2022-04-13,23.213
2022-04-14,23.213
2022-04-15,23.44
2022-04-16,23.44
2022-04-17,23.44
2022-04-18,23.44
2022-04-19,23.44
2022-04-20,23.44
2022-04-21,23.44
2022-04-22,23.47
2022-04-23,23.47
2022-04-24,23.47
2022-04-25,23.47
2022-04-26,23.47
2022-04-27,23.47
2022-04-28,23.47
2022-04-29,23.3
2022-04-30,23.3
2022-05-01,23.3
2022-05-02,23.3
2022-05-03,23.3
2022-05-04,23.3
2022-05-05,23.3
2022-05-06,23.3
2022-05-07,23.5
2022-05-08,23.5
2022-05-09,23.5
2022-05-10,23.5
2022-05-11,23.5
2022-05-12,23.5
2022-05-13,23.542
2022-05-14,23.542
2022-05-15,23.542
2022-05-16,23.542
2022-05-17,23.542
2022-05-18,23.542
2022-05-19,23.542
2022-05-20,23.36
2022-05-21,23.36
2022-05-22,23.36
2022-05-23,23.36
2022-05-24,23.36
2022-05-25,23.36
2022-05-26,23.36
2022-05-27,23.2
2022-05-28,23.2
2022-05-29,23.2
2022-05-30,23.2
2022-05-31,23.2
2022-06-01,23.2
2022-06-02,23.16
2022-06-03,23.16
2022-06-04,23.16
2022-06-05,23.16
2022-06-06,23.16
2022-06-07,23.16
2022-06-08,23.16
2022-06-09,23.16
2022-06-10,22.74
2022-06-11,22.74
2022-06-12,22.74
2022-06-13,22.74
2022-06-14,22.74
2022-06-15,22.74
2022-06-16,22.74
2022-06-17,22.48
2022-06-18,22.48
2022-06-19,22.48
2022-06-20,22.48
2022-06-21,22.48
2022-06-22,22.48
2022-06-23,22.48
2022-06-24,21.46
2022-06-25,21.46
2022-06-26,21.46
2022-06-27,21.46
2022-06-28,21.46
2022-06-29,21.46
2022-06-30,21.46
2022-07-01,19.33
2022-07-02,19.33
2022-07-03,19.33
2022-07-04,19.33
2022-07-05,19.33
2022-07-06,19.33
2022-07-07,19.33
2022-07-08,18.28
2022-07-09,18.28
2022-07-10,18.28
2022-07-11,18.28
2022-07-12,18.28
2022-07-13,18.28
2022-07-14,18.28
2022-07-15,17.54
2022-07-16,17.54
2022-07-17,17.54
2022-07-18,17.54
2022-07-19,17.54
2022-07-20,17.54
2022-07-21,17.54
2022-07-22,17.0
2022-07-23,17.0
2022-07-24,17.0
2022-07-25,17.0
2022-07-26,17.0
2022-07-27,17.0
2022-07-28,17.0
2022-07-29,17.02
2022-07-30,17.02
2022-07-31,17.02
2022-08-01,17.02
2022-08-02,17.02
2022-08-03,17.02
2022-08-04,17.02
2022-08-05,17.08
2022-08-06,17.08
2022-08-07,17.08
2022-08-08,17.08
2022-08-09,17.08
2022-08-10,17.08
2022-08-11,17.08
2022-08-12,17.04
2022-08-13,17.04
2022-08-14,17.04
2022-08-15,17.04
2022-08-16,17.04
2022-08-17,17.04
2022-08-18,17.04
2022-08-19,17.05
2022-08-20,17.05
2022-08-21,17.05
2022-08-22,17.05
2022-08-23,17.05
2022-08-24,17.05
2022-08-25,17.05
2022-08-26,16.93
2022-08-27,16.93
2022-08-28,16.93
2022-08-29,16.93
2022-08-30,16.93
2022-08-31,16.93
2022-09-01,16.93
2022-09-02,17.0
2022-09-03,17.0
2022-09-04,17.0
2022-09-05,17.0
2022-09-06,17.0
2022-09-07,17.0
2022-09-08,17.0
2022-09-09,17.23
2022-09-10,17.23
2022-09-11,17.23
2022-09-12,17.23
2022-09-13,17.23
2022-09-14,17.23
2022-09-15,17.23
2022-09-16,17.788
2022-09-17,17.788
2022-09-18,17.788
2022-09-19,17.788
2022-09-20,17.788
2022-09-21,17.788
2022-09-22,17.788
2022-09-23,18.98
2022-09-24,18.98
2022-09-25,18.98
2022-09-26,18.98
2022-09-27,18.98
2022-09-28,18.98
2022-09-29,18.98
2022-09-30,19.66
2022-10-01,19.66
2022-10-02,19.66
2022-10-03,19.66
2022-10-04,19.66
2022-10-05,19.66
2022-10-06,19.66
2022-10-07,19.66
2022-10-08,19.66
2022-10-09,19.66
2022-10-10,19.66
2022-10-11,19.66
2022-10-12,19.66
2022-10-13,19.66
2022-10-14,18.943
2022-10-15,18.943
2022-10-16,18.943
2022-10-17,18.943
2022-10-18,18.943
2022-10-19,18.943
2022-10-20,18.943
2022-10-21,18.28
2022-10-22,18.28
2022-10-23,18.28
2022-10-24,18.28
2022-10-25,18.28
2022-10-26,18.28
2022-10-27,18.28
2022-10-28,17.73
2022-10-29,17.73
2022-10-30,17.73
2022-10-31,17.73
2022-11-01,17.73
2022-11-02,17.73
2022-11-03,17.73
2022-11-04,17.65
2022-11-05,17.65
2022-11-06,17.65
2022-11-07,17.65
2022-11-08,17.65
2022-11-09,17.65
2022-11-10,17.65
2022-11-11,17.49
2022-11-12,17.49
2022-11-13,17.49
2022-11-14,17.49
2022-11-15,17.49
2022-11-16,17.49
2022-11-17,17.49
2022-11-18,17.33
2022-11-19,17.33
2022-11-20,17.33
2022-11-21,17.33
2022-11-22,17.33
2022-11-23,17.33
2022-11-24,17.33
2022-11-25,17.2
2022-11-26,17.2
2022-11-27,17.2
2022-11-28,17.2
2022-11-29,17.2
2022-11-30,17.2
2022-12-01,17.2
2022-12-02,16.96
2022-12-03,16.96
2022-12-04,16.96
2022-12-05,16.96
2022-12-06,16.96
2022-12-07,16.96
2022-12-08,16.96
2022-12-09,16.75
2022-12-10,16.75
2022-12-11,16.75
2022-12-12,16.75
2022-12-13,16.75
2022-12-14,16.75
2022-12-15,16.75
2022-12-16,17.09
2022-12-17,17.09
2022-12-18,17.09
2022-12-19,17.09
2022-12-20,17.09
2022-12-21,17.09
2022-12-22,17.09
2022-12-23,17.25
2022-12-24,17.25
2022-12-25,17.25
2022-12-26,17.25
2022-12-27,17.25
2022-12-28,17.25
2022-12-29,17.25
2022-12-30,17.25
2022-12-31,17.25
2023-01-01,17.25
2023-01-02,17.25
2023-01-03,17.25
2023-01-04,17.25
2023-01-05,17.25
2023-01-06,17.338
2023-01-07,17.338
2023-01-08,17.338
2023-01-09,17.338
2023-01-10,17.338
2023-01-11,17.338
2023-01-12,17.338
2023-01-13,17.48
2023-01-14,17.48
2023-01-15,17.48
2023-01-16,17.48
2023-01-17,17.48
2023-01-18,17.48
2023-01-19,17.48
2023-01-20,17.5
2023-01-21,17.5
2023-01-22,17.5
2023-01-23,17.5
2023-01-24,17.5
2023-01-25,17.5
2023-01-26,17.5
2023-01-27,17.5
2023-01-28,17.5
2023-01-29,17.5
2023-01-30,17.5
2023-01-31,17.5
2023-02-01,17.5
2023-02-02,17.5
2023-02-03,17.5
2023-02-04,17.5
2023-02-05,17.5
2023-02-06,17.5
2023-02-07,17.5
2023-02-08,17.5
2023-02-09,17.5
2023-02-10,17.36
2023-02-11,17.36
2023-02-12,17.36
2023-02-13,17.36
2023-02-14,17.36
2023-02-15,17.36
2023-02-16,17.36
2023-02-17,17.3
2023-02-18,17.3
2023-02-19,17.3
2023-02-20,17.3
2023-02-21,17.3
2023-02-22,17.3
2023-02-23,17.3
2023-02-24,17.1
2023-02-25,17.1
2023-02-26,17.1
2023-02-27,17.1
2023-02-28,17.1
2023-03-01,17.1
2023-03-02,17.1
2023-03-03,17.0
2023-03-04,17.0
2023-03-05,17.0
2023-03-06,17.0
2023-03-07,17.0
2023-03-08,17.0
2023-03-09,17.0
2023-03-10,17.0
2023-03-11,17.0
2023-03-12,17.0
2023-03-13,17.0
2023-03-14,17.0
2023-03-15,17.0
2023-03-16,17.0
2023-03-17,16.85
2023-03-18,16.85
2023-03-19,16.85
2023-03-20,16.85
2023-03-21,16.85
2023-03-22,16.85
2023-03-23,16.85
2023-03-24,16.64
2023-03-25,16.64
2023-03-26,16.64
2023-03-27,16.64
2023-03-28,16.64
2023-03-29,16.64
2023-03-30,16.64
2023-03-31,16.55
2023-04-01,16.55
2023-04-02,16.55
2023-04-03,16.55
2023-04-04,16.55
2023-04-05,16.55
2023-04-06,16.55
2023-04-07,16.55
2023-04-08,16.55
2023-04-09,16.55
2023-04-10,16.55
2023-04-11,16.55
2023-04-12,16.55
2023-04-13,16.55
2023-04-14,16.5
2023-04-15,16.5
2023-04-16,16.5
2023-04-17,16.5
2023-04-18,16.5
2023-04-19,16.5
2023-04-20,16.5
2023-04-21,16.4
2023-04-22,16.4
2023-04-23,16.4
2023-04-24,16.4
2023-04-25,16.4
2023-04-26,16.4
2023-04-27,16.4
2023-04-28,16.4
2023-04-29,16.4
2023-04-30,16.4
2023-05-01,16.4
2023-05-02,16.4
2023-05-03,16.4
2023-05-04,16.4
2023-05-05,16.65
2023-05-06,16.65
2023-05-07,16.65
2023-05-08,16.65
2023-05-09,16.65
2023-05-10,16.65
2023-05-11,16.65
2023-05-12,16.65
2023-05-13,16.65
2023-05-14,16.65
2023-05-15,16.65
2023-05-16,16.65
2023-05-17,16.65
2023-05-18,16.65
2023-05-19,16.61
2023-05-20,16.61
2023-05-21,16.61
2023-05-22,16.61
2023-05-23,16.61
2023-05-24,16.61
2023-05-25,16.61
2023-05-26,16.49
2023-05-27,16.49
2023-05-28,16.49
2023-05-29,16.49
2023-05-30,16.49
2023-05-31,16.49
2023-06-01,16.49
2023-06-02,16.33
2023-06-03,16.33
2023-06-04,16.33
2023-06-05,16.33
2023-06-06,16.33
2023-06-07,16.33
2023-06-08,16.33
2023-06-09,16.14
2023-06-10,16.14
2023-06-11,16.14
2023-06-12,16.14
2023-06-13,16.14
2023-06-14,16.14
2023-06-15,16.14
2023-06-16,16.01
2023-06-17,16.01
2023-06-18,16.01
2023-06-19,16.01
2023-06-20,16.01
2023-06-21,16.01
2023-06-22,16.01
2023-06-23,15.867
2023-06-24,15.867
2023-06-25,15.867
2023-06-26,15.867
2023-06-27,15.867
2023-06-28,15.867
2023-06-29,15.867
2023-06-30,15.833
2023-07-01,15.833
2023-07-02,15.833
2023-07-03,15.833
2023-07-04,15.833
2023-07-05,15.833
2023-07-06,15.833
2023-07-07,16.03
2023-07-08,16.03
2023-07-09,16.03
2023-07-10,16.03
2023-07-11,16.03
2023-07-12,16.03
2023-07-13,16.03
2023-07-14,16.25
2023-07-15,16.25
2023-07-16,16.25
2023-07-17,16.25
2023-07-18,16.25
2023-07-19,16.25
2023-07-20,16.25
2023-07-21,16.14
2023-07-22,16.14
2023-07-23,16.14
2023-07-24,16.14
2023-07-25,16.14
2023-07-26,16.14
2023-07-27,16.14
2023-07-28,16.09
2023-07-29,16.09
2023-07-30,16.09
2023-07-31,16.09
2023-08-01,16.09
2023-08-02,16.09
2023-08-03,16.09
2023-08-04,16.24
2023-08-05,16.24
2023-08-06,16.24
2023-08-07,16.24
2023-08-08,16.24
2023-08-09,16.24
2023-08-10,16.24
2023-08-11,16.25
2023-08-12,16.25
2023-08-13,16.25
2023-08-14,16.25
2023-08-15,16.25
2023-08-16,16.25
2023-08-17,16.25
2023-08-18,16.55
2023-08-19,16.55
2023-08-20,16.55
2023-08-21,16.55
2023-08-22,16.55
2023-08-23,16.55
2023-08-24,16.55
2023-08-25,16.91
2023-08-26,16.91
2023-08-27,16.91
2023-08-28,16.91
2023-08-29,16.91
2023-08-30,16.91
2023-08-31,16.91
2023-09-01,17.09
2023-09-02,17.09
2023-09-03,17.09
2023-09-04,17.09
2023-09-05,17.09
2023-09-06,17.09
2023-09-07,17.09
2023-09-08,17.31
2023-09-09,17.31
2023-09-10,17.31
2023-09-11,17.31
2023-09-12,17.31
2023-09-13,17.31
2023-09-14,17.31
2023-09-15,17.4
2023-09-16,17.4
2023-09-17,17.4
2023-09-18,17.4
2023-09-19,17.4
2023-09-20,17.4
2023-09-21,17.4
2023-09-22,17.31
2023-09-23,17.31
2023-09-24,17.31
2023-09-25,17.31
2023-09-26,17.31
2023-09-27,17.31
2023-09-28,17.25
2023-09-29,17.25
2023-09-30,17.25
2023-10-01,17.25
2023-10-02,17.25
2023-10-03,17.25
2023-10-04,17.25
2023-10-05,17.25
2023-10-06,17.25
2023-10-07,17.25
2023-10-08,17.25
2023-10-09,17.25
2023-10-10,17.25
2023-10-11,17.25
2023-10-12,17.25
2023-10-13,17.107
2023-10-14,17.107
2023-10-15,17.107
2023-10-16,17.107
2023-10-17,17.107
2023-10-18,17.107
2023-10-19,17.107
2023-10-20,16.94
2023-10-21,16.94
2023-10-22,16.94
2023-10-23,16.94
2023-10-24,16.94
2023-10-25,16.94
2023-10-26,16.94
2023-10-27,16.87
2023-10-28,16.87
2023-10-29,16.87
2023-10-30,16.87
2023-10-31,16.87
2023-11-01,16.87
2023-11-02,16.87
2023-11-03,16.57
2023-11-04,16.57
2023-11-05,16.57
2023-11-06,16.57
2023-11-07,16.57
2023-11-08,16.57
2023-11-09,16.57
2023-11-10,16.41
2023-11-11,16.41
2023-11-12,16.41
2023-11-13,16.41
2023-11-14,16.41
2023-11-15,16.41
2023-11-16,16.41
2023-11-17,16.08
2023-11-18,16.08
2023-11-19,16.08
2023-11-20,16.08
2023-11-21,16.08
2023-11-22,16.08
2023-11-23,16.08
2023-11-24,15.99
2023-11-25,15.99
2023-11-26,15.99
2023-11-27,15.99
2023-11-28,15.99
2023-11-29,15.99
2023-11-30,15.99
2023-12-01,15.93
2023-12-02,15.93
2023-12-03,15.93
2023-12-04,15.93
2023-12-05,15.93
2023-12-06,15.93
2023-12-07,15.93
2023-12-08,15.9
2023-12-09,15.9
2023-12-10,15.9
2023-12-11,15.9
2023-12-12,15.9
2023-12-13,15.9
2023-12-14,15.9
2023-12-15,15.87
